DATE_TIME,SOURCE_KEY,AC_POWER,DC_POWER,DAILY_YIELD
2020-05-15,0.0,23046.550594908997,235340.69642902998,5754.0
2020-05-16,0.0,25124.491071686993,256629.87500109,6292.0
2020-05-17,0.0,28172.84999973,288039.82143789995,7045.0
2020-05-18,0.0,19970.507142550003,204030.3035688,4998.0
2020-05-19,0.0,22741.17678599,232277.2678564,6449.0
2020-05-20,0.0,22516.258332193003,230412.61903727002,8249.0
2020-05-21,0.0,28223.132737440003,288676.60120000003,7243.0
2020-05-22,0.0,27456.633928660005,280809.07142319996,6848.0
2020-05-23,0.0,31922.93035671401,326468.267851,7966.0
2020-05-24,0.0,30220.367857790006,309111.7321442,7537.0
2020-05-25,0.0,33144.651785059985,339109.94641950005,8268.0
2020-05-26,0.0,29873.74107051,305515.9464216,7456.4285709999995
2020-05-27,0.0,24595.60535695,251250.517851,6164.0
2020-05-28,0.0,31917.629166823,326520.42261563,7977.0
2020-05-29,0.0,30387.483929670005,310776.5749926,7564.0
2020-05-30,0.0,27054.692856468995,276466.89285656996,6754.0
2020-05-31,0.0,22928.217857151005,234509.23213329,5803.0
2020-06-01,0.0,22033.24940503,225219.7737997,5508.0
2020-06-02,0.0,28043.889286038997,286633.7500018,7029.0
2020-06-03,0.0,28085.882143471008,287069.37499867,7341.0
2020-06-04,0.0,30287.019643572992,309653.8214196,7571.0
2020-06-05,0.0,28693.905357053995,293353.25001069,7162.0
2020-06-06,0.0,23793.423213863003,243297.17857713002,5940.0
2020-06-07,0.0,21247.576785862002,217217.71427905,5268.0
2020-06-08,0.0,30969.72083308,316710.8511807,7864.0
2020-06-09,0.0,29476.869642404003,301395.46428543,7456.0
2020-06-10,0.0,23707.679286089005,242187.71072382998,5911.0
2020-06-11,0.0,21003.566071560002,214404.5892816,5257.0
2020-06-12,0.0,21813.001785620003,222758.5535705,5441.0
2020-06-13,0.0,31895.248213274,326297.08928973,7984.0
2020-06-14,0.0,16085.326786233005,164127.30356859,4012.0
2020-06-15,0.0,24986.85535728001,255298.41071873,6275.0
2020-06-16,0.0,23288.024999611003,237829.60714183,5848.0
2020-06-17,0.0,21957.166428565994,224315.74285783002,5521.0
2020-05-15,1.0,25343.28571412,258911.1071472,6357.0
2020-05-16,1.0,26396.928572060006,269678.2321455,6592.0
2020-05-17,1.0,30962.510714960004,316701.6071448,7759.0
2020-05-18,1.0,21723.946429050004,221984.74999799998,5453.0
2020-05-19,1.0,23202.778571059993,237092.42857370002,6568.75
2020-05-20,1.0,24564.961071600006,251521.0678501,8997.0
2020-05-21,1.0,30352.048215060004,310547.48212640005,7816.5
2020-05-22,1.0,29011.330357759998,296998.08927610004,7287.0
